# --------------------------------------------------
# nrow : 38
# ncol : 3
# comment : AMS streamflow data for station 203900. Water year starts on the 1/{wys}.
# time_generated : 2025-10-22 12:19:32
# author : unknown
# source_file : D010_get_data.py
# --------------------------------------------------
WATER_YEAR_START,203900_TIMEPEAK,203900_PEAK,203900_NVALID
1985-10-01,1986-01-26,52.31536,256
1986-10-01,1987-05-11,603.12634,340
1987-10-01,1988-04-07,887.48615,361
1988-10-01,,,0
1989-10-01,,,0
1990-10-01,,,0
1991-10-01,,,1
1992-10-01,,,0
1993-10-01,,,0
1994-10-01,,,0
1995-10-01,1996-05-03,548.80298,257
1996-10-01,1997-02-15,218.36600,303
1997-10-01,1997-12-24,44.31200,365
1998-10-01,1999-03-04,423.93799,365
1999-10-01,1999-11-09,320.73001,366
2000-10-01,2001-03-09,878.29498,365
2001-10-01,2002-06-17,10.11000,365
2002-10-01,2003-06-27,213.37000,365
2003-10-01,2004-03-06,854.36102,366
2004-10-01,2005-06-30,300.44400,365
2005-10-01,2006-03-06,432.32700,365
2006-10-01,2006-11-09,25.61500,365
2007-10-01,2008-01-05,1525.26599,366
2008-10-01,2009-05-22,769.38800,365
2009-10-01,2010-03-03,111.28300,365
2010-10-01,2010-12-28,868.44897,365
2011-10-01,2012-01-26,523.93335,366
2012-10-01,2013-01-29,690.98810,365
2013-10-01,2014-03-29,286.11270,365
2014-10-01,2015-05-03,430.69580,365
2015-10-01,2016-08-25,388.13080,366
2016-10-01,2017-03-31,1229.98303,365
2017-10-01,2018-03-07,132.19200,359
2018-10-01,2018-10-16,102.27300,365
2019-10-01,2020-02-14,521.47699,366
2020-10-01,2020-12-16,498.59540,365
2021-10-01,2022-03-01,1363.22168,365
2022-10-01,2022-10-24,265.56384,365
