# --------------------------------------------------
# nrow : 52
# ncol : 3
# comment : AMS streamflow data for station 203005. Water year starts on the 1/{wys}.
# time_generated : 2025-10-22 12:19:31
# author : unknown
# source_file : D010_get_data.py
# --------------------------------------------------
WATER_YEAR_START,203005_TIMEPEAK,203005_PEAK,203005_NVALID
1971-10-01,1972-02-13,497.91187,366
1972-10-01,1972-10-29,405.73053,365
1973-10-01,1974-01-27,991.19885,365
1974-10-01,1975-03-03,786.67932,365
1975-10-01,1976-02-11,1668.86682,366
1976-10-01,1977-05-19,80.60970,365
1977-10-01,1978-03-18,1614.93591,365
1978-10-01,1979-01-23,180.82196,327
1979-10-01,1980-05-10,1121.45776,366
1980-10-01,1981-02-15,596.16553,315
1981-10-01,1982-01-21,218.65897,365
1982-10-01,1983-05-04,626.70660,365
1983-10-01,1984-04-09,1008.68707,366
1984-10-01,1985-07-09,157.78748,348
1985-10-01,1986-01-25,47.68855,365
1986-10-01,1987-05-11,466.31583,365
1987-10-01,1988-04-07,1053.46252,366
1988-10-01,1989-04-02,1232.78650,365
1989-10-01,1990-02-03,1579.25195,365
1990-10-01,1991-02-08,1224.96704,365
1991-10-01,1991-12-12,225.34500,359
1992-10-01,1993-07-14,36.74900,365
1993-10-01,1994-03-03,127.06400,352
1994-10-01,1995-02-16,118.59200,365
1995-10-01,1996-05-06,1049.57397,366
1996-10-01,1997-02-15,239.05000,365
1997-10-01,1997-12-24,66.39700,365
1998-10-01,1999-03-03,361.36600,365
1999-10-01,1999-11-09,311.63000,366
2000-10-01,2001-03-09,923.79401,325
2001-10-01,2002-06-17,8.54300,365
2002-10-01,2003-06-26,175.26900,355
2003-10-01,2004-03-06,915.23199,366
2004-10-01,2005-06-30,191.57001,365
2005-10-01,2006-03-05,303.61301,360
2006-10-01,2006-11-08,30.19700,365
2007-10-01,2008-01-05,2687.88794,366
2008-10-01,2009-05-21,495.19598,365
2009-10-01,2010-03-03,101.73400,365
2010-10-01,2010-12-27,1445.50000,365
2011-10-01,2012-01-25,507.68500,366
2012-10-01,2013-01-28,759.91998,365
2013-10-01,2014-03-29,332.24020,365
2014-10-01,2015-05-02,462.14435,365
2015-10-01,2016-08-25,447.81113,366
2016-10-01,2017-03-31,1735.44495,365
2017-10-01,2018-03-06,178.23404,365
2018-10-01,2018-10-17,55.05175,358
2019-10-01,2020-02-14,625.51569,366
2020-10-01,2020-12-15,458.93124,365
2021-10-01,2022-02-28,1490.62415,365
2022-10-01,2022-10-24,295.53308,365
